pd,pb
3.500316930129096504e-01,4.775622829532437663e-01
2.992827803505727080e-01,3.891325140101464797e-01
3.071694773379569088e-01,3.978756152207587049e-01
3.171077456679052831e-01,4.147355486893128940e-01
2.406129762626394997e-01,2.674271770372105284e-01
2.529568207108325861e-01,2.913076078162180615e-01
2.425534885220618775e-01,2.772411016386515659e-01
2.976958476428695488e-01,3.908050035345824735e-01
3.115470786449860974e-01,3.899338011148347771e-01
3.053536402605696587e-01,3.867627359004686682e-01
2.352747873747891849e-01,2.579799535422572232e-01
1.247216707918808037e-01,1.082977353082682642e-01
1.553740761774629608e-01,1.496696163094800858e-01
1.249769081312353675e-01,1.114006049935882259e-01
1.571117714434277779e-01,1.531899704788026173e-01
1.332705533023466060e-01,1.153322638329327132e-01
6.545225516194916326e-02,3.538355457423469907e-02
6.186994539470039994e-02,4.040194331722649079e-02
7.369783328430788705e-02,4.450244344520790096e-02
1.289366495055258299e-01,1.089758973052109559e-01
4.133769052365305480e-02,1.024102181785435141e-02
4.133769052365305480e-02,1.024102181785435141e-02
3.432636884019195367e-02,4.641732651006404142e-03
4.149751242421233915e-02,1.260505805704840131e-02
4.513834396552846712e-02,1.750870969736519761e-02
4.550215867760113581e-02,1.050892545040709065e-02
5.019305267164591439e-02,1.888499471420815312e-02
9.946243817575226021e-02,7.221911330889045633e-02
3.656296095740652063e-02,6.096479032007953713e-03
4.397992630551549043e-02,1.179895758860253011e-02
1.472050795766597087e-01,1.362154994534592045e-01
8.076808068581607658e-02,5.028440195387086364e-02
1.974806121839227935e-01,2.018432057984596018e-01
2.392832839469419270e-01,2.639136657318696400e-01
1.953654126750389852e-01,1.972086163573422146e-01
1.913672593822963175e-01,1.966415444898568510e-01
1.462497822390427804e-01,1.401972275534076051e-01
1.480012272032234233e-01,1.385750042519250380e-01
2.802493254343488283e-01,3.492892968195285275e-01
2.314915973116566938e-01,2.528855115781839524e-01
2.583230565952997493e-01,2.912757309128242711e-01
2.697489828580635907e-01,3.142969582390823247e-01
3.032229021581997475e-01,3.864821727421976494e-01
2.609580015325903557e-01,3.048442574034928576e-01
2.943996128126246115e-01,3.622404551563183084e-01
3.165962627159648601e-01,4.038256966691913252e-01
3.174664722459885624e-01,4.048468791711640202e-01
3.256916405325037123e-01,4.319931953692996429e-01
3.695106599610133435e-01,5.315981439975333567e-01
3.525502222825956933e-01,5.059466989112441082e-01
3.683633101869214221e-01,5.450914065567254996e-01
3.129035803826579198e-01,4.037435896300848315e-01
3.233247442487829360e-01,4.368524013041697462e-01
2.943752864851021389e-01,3.899300514480890656e-01
