pd,pb
2.207335327675330472e-01,2.385854716005687270e-01
2.392611577101255438e-01,2.802826924798121344e-01
2.166407861441895510e-01,2.268887817400032092e-01
2.356386516518821916e-01,2.558828549119822049e-01
3.537301117929031458e-01,4.974550665353301704e-01
3.522087229468002789e-01,4.889044854904267545e-01
3.531694954841571588e-01,5.003311746914658187e-01
3.611436973823810015e-01,4.986002359350882318e-01
4.000218985964461016e-01,6.060490947531566031e-01
3.886709951831870402e-01,5.718007171469322580e-01
4.130218986326459896e-01,6.452849428493393491e-01
3.521669105053911175e-01,4.847082373754820206e-01
3.814049498954179551e-01,5.519804208205792984e-01
3.647731531464462051e-01,5.137655821452271621e-01
3.764107290274207318e-01,5.425452419818852512e-01
3.423588061078385869e-01,4.624908852929071057e-01
2.925824638358977547e-01,3.591441915192123968e-01
1.538714419030869918e-01,1.364430741539319480e-01
2.524755332134036578e-01,2.909243139186155624e-01
2.672648588669366276e-01,3.226047965348562419e-01
2.208889996628104202e-01,2.530154448413578505e-01
2.446719973158356931e-01,2.752794471418621436e-01
2.863001713686251226e-01,3.489863171817717546e-01
3.031441410162188932e-01,3.842693404078526553e-01
3.326330324586611042e-01,4.490628695454982333e-01
2.555838739117056169e-01,2.994992405773020394e-01
2.508191275109852292e-01,2.961654142199795503e-01
3.487679367690305066e-01,4.762663540099645321e-01
4.010186934602021358e-01,6.087258405761809543e-01
3.993727668970541433e-01,6.035288034432940707e-01
4.042976208393216364e-01,6.174089548279255713e-01
4.163496355400402860e-01,6.514470769625541058e-01
3.622776507779000288e-01,5.220841269418667885e-01
3.974452655079270258e-01,5.971894186811153027e-01
3.930822172998282293e-01,5.904217311643440436e-01
3.229168054645740193e-01,4.312041099799791000e-01
3.258372031914191780e-01,4.282650254414238633e-01
3.055775616642648629e-01,3.875022403987946062e-01
3.143619411696997323e-01,4.017667163835575983e-01
2.991259924382775326e-01,3.686735225681042616e-01
2.774596579917093520e-01,3.327566763548598927e-01
2.306705892004791147e-01,2.680457211868148004e-01
1.664038147471949558e-01,1.621847267294062866e-01
1.172854644471634789e-01,9.765149959111098232e-02
4.809125998409154168e-02,1.658517549227236237e-02
1.449676134121744564e-01,1.331825114484997963e-01
1.543626265170780221e-01,1.391007386025423509e-01
1.688571779236154313e-01,1.577139823849625921e-01
2.546633108059006556e-01,2.907673680956739393e-01
2.035992856834837328e-01,2.083912201092107397e-01
2.525603475635361805e-01,2.905501208327252449e-01
2.667959890511531484e-01,3.201908380355356631e-01
3.784369667215604638e-01,5.479145366005757634e-01
4.056624653158109051e-01,6.414161535697209260e-01
4.516301238273491281e-01,7.597768719756146094e-01
4.538666183594029513e-01,7.649269162259907384e-01
4.495068727715243462e-01,7.478857184387692758e-01
4.655402827559747547e-01,7.957651772141921542e-01
4.467235454589414401e-01,7.488670832830823798e-01
4.268120847207299562e-01,6.825526089505973282e-01
3.507784272572812556e-01,4.776946684240088170e-01
3.347080383846312013e-01,4.447108132354486432e-01
3.759244652619030402e-01,5.435447252601109946e-01
3.411979389080361802e-01,4.653208128031094959e-01
2.496912003948777992e-01,2.885549594046705191e-01
2.303994404946154706e-01,2.609261594638062620e-01
3.195243882186006301e-01,4.194743076822328720e-01
3.561176214275051377e-01,4.906591592483032782e-01
