pd,pb
4.753919522784612606e-01,9.999911258480822518e-01
4.753919522784612606e-01,9.999911258480822518e-01
4.753919522784612606e-01,9.999911258480822518e-01
4.753919522784612606e-01,9.999911258480822518e-01
4.753919522784612606e-01,9.999911258480822518e-01
4.751100082744763031e-01,9.997971084405697928e-01
4.751100082744763031e-01,9.997971084405697928e-01
4.751100082744763031e-01,9.997971084405697928e-01
4.751100082744763031e-01,9.997971084405697928e-01
4.751100082744763031e-01,9.997971084405697928e-01
4.751100082744763031e-01,9.997971084405697928e-01
4.751100082744763031e-01,9.997971084405697928e-01
4.751100082744763031e-01,9.997971084405697928e-01
4.751100082744763031e-01,9.997971084405697928e-01
4.751100082744763031e-01,9.997971084405697928e-01
4.751100082744763031e-01,9.997971084405697928e-01
4.751100082744763031e-01,9.997971084405697928e-01
4.751100082744763031e-01,9.997971084405697928e-01
4.751100082744763031e-01,9.997971084405697928e-01
4.751100082744763031e-01,9.997971084405697928e-01
4.749454571131367930e-01,9.998292888911219922e-01
4.749454571131367930e-01,9.998292888911219922e-01
4.749454571131367930e-01,9.998292888911219922e-01
4.749454571131367930e-01,9.998292888911219922e-01
4.749454571131367930e-01,9.998292888911219922e-01
4.749454571131367930e-01,9.998292888911219922e-01
4.749454571131367930e-01,9.998292888911219922e-01
4.749454571131367930e-01,9.998292888911219922e-01
4.749454571131367930e-01,9.998292888911219922e-01
4.749454571131367930e-01,9.998292888911219922e-01
4.749454571131367930e-01,9.998292888911219922e-01
4.752844183641298792e-01,9.997291982487395146e-01
4.752932598299638434e-01,9.997350369788192692e-01
4.752932598299638434e-01,9.997350369788192692e-01
4.752932598299638434e-01,9.997350369788192692e-01
4.752932598299638434e-01,9.997350369788192692e-01
4.752932598299638434e-01,9.997350369788192692e-01
4.752932598299638434e-01,9.997350369788192692e-01
4.750900225893324169e-01,9.992786245495861586e-01
4.750900225893324169e-01,9.992786245495861586e-01
4.752350149467796658e-01,9.997464140762221119e-01
4.752350149467796658e-01,9.997464140762221119e-01
4.752350149467796658e-01,9.997464140762221119e-01
4.752350149467796658e-01,9.997464140762221119e-01
4.752350149467796658e-01,9.997464140762221119e-01
4.752350149467796658e-01,9.997464140762221119e-01
4.752350149467796658e-01,9.997464140762221119e-01
4.752350149467796658e-01,9.997464140762221119e-01
4.752350149467796658e-01,9.997464140762221119e-01
4.752350149467796658e-01,9.997464140762221119e-01
4.752350149467796658e-01,9.997464140762221119e-01
4.752350149467796658e-01,9.997464140762221119e-01
4.752350149467796658e-01,9.997464140762221119e-01
4.752350149467796658e-01,9.997464140762221119e-01
4.752350149467796658e-01,9.997464140762221119e-01
4.752350149467796658e-01,9.997464140762221119e-01
4.752350149467796658e-01,9.997464140762221119e-01
4.752350149467796658e-01,9.997464140762221119e-01
4.752350149467796658e-01,9.997464140762221119e-01
4.752031826445032303e-01,9.996965656479963602e-01
4.752031826445032303e-01,9.996965656479963602e-01
4.752031826445032303e-01,9.996965656479963602e-01
4.752031826445032303e-01,9.996965656479963602e-01
4.752031826445032303e-01,9.996965656479963602e-01
4.752031826445032303e-01,9.996965656479963602e-01
4.752031826445032303e-01,9.996965656479963602e-01
4.752031826445032303e-01,9.996965656479963602e-01
4.753642858517861391e-01,9.999905803145101579e-01
4.753642858517861391e-01,9.999905803145101579e-01
4.753642858517861391e-01,9.999905803145101579e-01
4.753642858517861391e-01,9.999905803145101579e-01
4.753642858517861391e-01,9.999905803145101579e-01
4.753642858517861391e-01,9.999905803145101579e-01
4.753642858517861391e-01,9.999905803145101579e-01
4.753642858517861391e-01,9.999905803145101579e-01
4.753642858517861391e-01,9.999905803145101579e-01
4.753642858517861391e-01,9.999905803145101579e-01
4.753642858517861391e-01,9.999905803145101579e-01
4.753642858517861391e-01,9.999905803145101579e-01
4.753642858517861391e-01,9.999905803145101579e-01
4.753642858517861391e-01,9.999905803145101579e-01
4.753642858517861391e-01,9.999905803145101579e-01
4.753642858517861391e-01,9.999905803145101579e-01
4.753642858517861391e-01,9.999905803145101579e-01
4.753642858517861391e-01,9.999905803145101579e-01
4.753642858517861391e-01,9.999905803145101579e-01
